"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","税务申报配置","2","0","店铺主体关系设置基础数据初始化","0"
"0","","0","费用项配置","1","0","报送场景费用项设置基础数据初始化","0"
"0","","0","预测配置","1","0","预测申报金额设置基础数据初始化","0"
"0","","0","税务申报配置","1","0","新增主体","0"
